release_number,release_title,track_number,track_title,artist,lyrics_status
"172","Raggatech ll","1","Raggatech ll","Iyari Gomez","Instrumental"
"173","Raices de Luz","1","Raices de Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"174","Raices de Luz","1","Raíz de Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"174","Raices de Luz","2","Raices de luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"175","Rain on me","1","Rain on me","Iyari Gomez","Letras sin formato Letras sincronizadas"
"176","Rayo de Luz","1","Rayo de Luz","Iyari Gomez","Letras sin formato Letras sincronizadas"
"177","Reggae Blackmamba","1","Reggae Blackmamba","Iyari Gomez","Letras sin formato Letras sincronizadas"
"178","Reggae FireRoots","1","Reggae FireRoots","Iyari Gomez","Letras sin formato Letras sincronizadas"
"179","Reina de Fuego","1","Yami","Iyari Gomez","Letras sin formato Letras sincronizadas"
"179","Reina de Fuego","2","Yami II","Iyari Gomez","Letras sin formato Letras sincronizadas"
"180","Respira","1","Respira","Iyari Gomez","Letras sin formato Letras sincronizadas"
"181","Rhythm Nation","1","Rhythm Nation","Iyari Gomez","Letras sin formato Letras sincronizadas"
"182","Rise of the Serpent","1","Rise of the Serpent","Iyari Gomez","Letras sin formato Letras sincronizadas"
"183","Rise Up","1","Rise Up","Iyari Gomez","Letras sin formato Letras sincronizadas"
"184","Roar Like a Lion","1","Roar Like a Lion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"185","Roots and Bass","1","Roots and Bass","Iyari Gomez","Letras sin formato Letras sincronizadas"
"186","Roots And Culture","1","Roots","Iyari Gomez","Letras sin formato Letras sincronizadas"
"186","Roots And Culture","2","Culture","Iyari Gomez","Letras sin formato Letras sincronizadas"
"187","Roots of the Legend","1","Roots of the Legend","Iyari Gomez","Letras sin formato Letras sincronizadas"
"188","Ruth Gomez","1","Fuego en la Vision.","Iyari Gomez","Letras sin formato Letras sincronizadas"
"188","Ruth Gomez","2","Aprende a Escuchar","Iyari Gomez","Letras sin formato Letras sincronizadas"
"189","Saffron Static","1","Saffron Static","Iyari Gomez","Letras sin formato Letras sincronizadas"
"190","Sangre de Dios","1","Sangre de Dios","Iyari Gomez","Letras sin formato Letras sincronizadas"
"191","Sarai Garcia","1","Sarai Garcia","Iyari Gomez","Letras sin formato Letras sincronizadas"
"192","Scarlet","1","Firme","Iyari Gomez","Letras sin formato Letras sincronizadas"
"192","Scarlet","2","Tormenta","Iyari Gomez","Letras sin formato Letras sincronizadas"
"192","Scarlet","3","Mala Intencion","Iyari Gomez","Letras sin formato Letras sincronizadas"
"192","Scarlet","4","Valiente","Iyari Gomez","Letras sin formato Letras sincronizadas"
"193","Se me olvido","1","Se me olvido","Iyari Gomez","Letras sin formato Letras sincronizadas"
"194","Si me queria...","1","Si me queria...","Iyari Gomez","Letras sin formato Letras sincronizadas"
"195","Signal","1","Signal","Iyari Gomez","Letras sin formato Letras sincronizadas"
"196","Sinceramente","1","Cuando te veo","Iyari Gomez","Instrumental"
"196","Sinceramente","2","No te veo","Iyari Gomez","Instrumental"
"197","Sky","1","Sky","Iyari Gomez","Letras sin formato Letras sincronizadas"
"198","Sky High Dreaming","1","Sky High Dreaming","Iyari Gomez","Letras sin formato Letras sincronizadas"
"199","Solo si tu antes","1","Solo si tu antes","Iyari Gomez","Letras sin formato Letras sincronizadas"
"200","Solsticio de Verano","1","Solsticio de Verano","Iyari Gomez","Letras sin formato Letras sincronizadas"
"201","SpyderLove","1","SpyderLove","Iyari Gomez","Letras sin formato Letras sincronizadas"
"202","Stand Firm","1","Stand","Iyari Gomez","Letras sin formato Letras sincronizadas"
"202","Stand Firm","2","Firm","Iyari Gomez","Letras sin formato Letras sincronizadas"
"203","Stoned","1","Stoned","Iyari Gomez","Letras sin formato Letras sincronizadas"
"204","Suave Maravilla","1","Suave Maravilla","Iyari Gomez","Letras sin formato Letras sincronizadas"
"204","Suave Maravilla","2","Bajo el Sol","Iyari Gomez","Letras sin formato Letras sincronizadas"
"205","Sumidero","1","Sumidero","Iyari Gomez","Letras sin formato Letras sincronizadas"
"206","Sunset","1","Sunset","Iyari Gomez","Letras sin formato Letras sincronizadas"
"207","Te Pienso (Belari Filobello)","1","Te Pienso (Belari Filobello)","Iyari Gomez","Letras sin formato Letras sincronizadas"
"208","The Circo","1","The Circo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"209","The Energy","1","The Energy","Iyari Gomez","Letras sin formato Letras sincronizadas"
"210","Time","1","Time","Iyari Gomez","Letras sin formato Letras sincronizadas"
"211","Tlatoani (TribalTechno Version)","1","Tlatoani (TribalTechno Version)","Iyari Gomez","Letras sin formato Letras sincronizadas"
"212","Toda Mi Vida","1","Toda Mi Vida","Iyari Gomez","Letras sin formato Letras sincronizadas"
